Code	Description	Theta_r	Theta_s	Alpha	N	Ks	Ko	L	Theta_r_u	Theta_s_u	Alpha_u	N_u	Ks_u	Ko_u	L_u
49	CLHS12PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
50	CLHS13PA	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
51	CLHS13PBk1	0.04103	0.38464	-1.41321	0.1781	1.79277	1.40808	-1.04448	0.00581	0.0068	0.04943	0.01175	0.06304	0.2306	0.77188
52	CLHS13PBk2	0.04299	0.38305	-1.41139	0.22141	1.95699	1.45512	-0.93178	0.005	0.00626	0.04468	0.01264	0.06015	0.23805	0.66419
53	CLHS13PBw1	0.04925	0.37913	-1.45593	0.40738	2.52503	1.3904	-0.86084	0.00245	0.00432	0.03156	0.01426	0.05287	0.23854	0.49591
54	CLHS13PBw2	0.05382	0.37481	-1.50208	0.38932	2.48454	1.2753	-0.86882	0.00332	0.00498	0.0345	0.01453	0.06636	0.24202	0.52175
55	CLHS14PA	0.04105	0.38467	-1.39459	0.22554	1.97453	1.49866	-0.91816	0.00523	0.00648	0.05018	0.013	0.06838	0.23876	0.66745
56	CLHS14PBk1	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
57	CLHS14PBk2	0.03497	0.38965	-1.42016	0.16003	1.76693	1.41406	-1.05716	0.00658	0.00794	0.05784	0.01123	0.08475	0.21833	0.83221
58	CLHS14PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
59	CLHS15PA	0.04105	0.38467	-1.39459	0.22554	1.97453	1.49866	-0.91816	0.00523	0.00648	0.05018	0.013	0.06838	0.23876	0.66745
60	CLHS15PBk1	0.04493	0.38152	-1.42822	0.21722	1.93858	1.41125	-0.9462	0.00482	0.00608	0.04033	0.01248	0.05922	0.23797	0.66448
61	CLHS15PBk2	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
62	CLHS15PBk3	0.04255	0.38461	-1.45713	0.15445	1.6596	1.30229	-1.13569	0.00563	0.00639	0.04264	0.00893	0.07601	0.22623	0.83962
63	CLHS15PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
64	CLHS16PA	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
65	CLHS16PBk	0.04493	0.38152	-1.42822	0.21722	1.93858	1.41125	-0.9462	0.00482	0.00608	0.04033	0.01248	0.05922	0.23797	0.66448
66	CLHS16PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
67	CLHS17PA	0.04875	0.37868	-1.45818	0.28826	2.17369	1.38878	-0.86053	0.00358	0.00512	0.03398	0.01052	0.06571	0.24328	0.58395
68	CLHS17PBk1	0.04493	0.38152	-1.42822	0.21722	1.93858	1.41125	-0.9462	0.00482	0.00608	0.04033	0.01248	0.05922	0.23797	0.66448
69	CLHS17PBk2	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
70	CLHS17PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
71	CLHS18PA	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
72	CLHS18PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
73	CLHS19PA	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
74	CLHS19PABw	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
75	CLHS19PBw	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
76	CLHS19PBk	0.04545	0.38156	-1.44041	0.1786	1.77587	1.33939	-1.0623	0.00521	0.00634	0.04114	0.0115	0.06526	0.2351	0.76264
77	CLHS19PBkk	0.04427	0.3822	-1.42892	0.18805	1.82365	1.37752	-1.02379	0.00526	0.00642	0.04265	0.01208	0.06041	0.23479	0.73513
78	CLHS19PBk	0.04427	0.3822	-1.42892	0.18805	1.82365	1.37752	-1.02379	0.00526	0.00642	0.04265	0.01208	0.06041	0.23479	0.73513
79	CLHS19PBkk	0.04853	0.37987	-1.46472	0.16761	1.701	1.26748	-1.12204	0.00499	0.00596	0.03961	0.01049	0.07304	0.23823	0.80251
80	CLHS20PA	0.04126	0.38778	-1.61026	0.14824	1.5578	1.11064	-0.90229	0.00496	0.00617	0.04544	0.00841	0.10876	0.20735	0.77484
81	CLHS20PBA	0.05263	0.39572	-1.97323	0.17382	1.14919	0.60012	-0.23641	0.00398	0.00734	0.05331	0.01032	0.16951	0.20866	0.82764
82	CLHS20PBk	0.05781	0.39513	-1.78572	0.15346	1.17379	0.78896	-0.71667	0.00452	0.00617	0.05981	0.00973	0.09963	0.20991	0.77707
83	CLHS20PCrBk	0.05875	0.40133	-2.00244	0.17522	1.03805	0.52986	-0.23167	0.00448	0.00598	0.051	0.0101	0.18701	0.21146	0.87593
84	CLHS20PCr	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
85	CLHS20PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
86	CLHS21PA	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
87	CLHS21PBk1	0.04878	0.37858	-1.46237	0.20863	1.89031	1.32215	-0.97698	0.00465	0.00568	0.03671	0.01234	0.07125	0.23974	0.67629
88	CLHS21PBk2	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
89	CLHS21PBk3	0.04648	0.38135	-1.43162	0.3656	2.3966	1.45677	-0.84023	0.00282	0.00464	0.03686	0.01293	0.0643	0.23961	0.52855
90	CLHS22PA	0.049	0.37829	-1.46339	0.23442	1.99002	1.34549	-0.92302	0.00433	0.0055	0.03569	0.01203	0.07045	0.24091	0.62967
91	CLHS22PAB	0.05172	0.38057	-1.49682	0.14479	1.52858	1.17058	-1.2641	0.0048	0.00584	0.04281	0.00778	0.07938	0.2399	0.901
92	CLHS22PNA	0.04917	0.37914	-1.46806	0.1726	1.72191	1.26499	-1.10128	0.00494	0.00581	0.03905	0.01089	0.07264	0.23944	0.78458
93	CLHS22PBk	0.04884	0.37885	-1.46385	0.18833	1.80131	1.29457	-1.03781	0.00485	0.00578	0.03782	0.01187	0.07208	0.23942	0.73082
94	CLHS22PBkk	0.05035	0.37873	-1.47775	0.16472	1.66865	1.23198	-1.14337	0.00491	0.00566	0.04007	0.01013	0.0722	0.24081	0.81668
95	CLHS22PNA	0.05089	0.38404	-1.52972	0.14013	1.47104	1.13269	-1.2309	0.00466	0.00624	0.04005	0.00713	0.10131	0.23161	0.89456
96	CLHS23PA	0.04853	0.37987	-1.46472	0.16761	1.701	1.26748	-1.12204	0.00499	0.00596	0.03961	0.01049	0.07304	0.23823	0.80251
97	CLHS23PBA	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
98	CLHS23PBW1	0.04126	0.38778	-1.61026	0.14824	1.5578	1.11064	-0.90229	0.00496	0.00617	0.04544	0.00841	0.10876	0.20735	0.77484
99	CLHS23PBW2	0.04995	0.38136	-1.4889	0.14699	1.55974	1.19703	-1.23572	0.00486	0.00605	0.04134	0.00798	0.08206	0.23693	0.88495
100	CLHS23PBK	0.05093	0.38702	-1.59924	0.142	1.41035	1.05189	-1.08282	0.00445	0.00607	0.04204	0.00774	0.10754	0.22152	0.84246
101	CLHS23PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
102	CLHS24PA	0.04702	0.38182	-1.46477	0.15613	1.64506	1.26252	-1.16935	0.00513	0.00625	0.04066	0.00919	0.07603	0.23426	0.84338
103	CLHS24PABw	0.04668	0.38102	-1.45182	0.17038	1.72849	1.30281	-1.10141	0.00513	0.00622	0.0403	0.01081	0.07034	0.23588	0.79071
104	CLHS24PBk	0.04702	0.38182	-1.46477	0.15613	1.64506	1.26252	-1.16935	0.00513	0.00625	0.04066	0.00919	0.07603	0.23426	0.84338
105	CLHS24PBkk	0.05172	0.38057	-1.49682	0.14479	1.52858	1.17058	-1.2641	0.0048	0.00584	0.04281	0.00778	0.07938	0.2399	0.901
106	CLHS25PA	0.04356	0.38281	-1.4267	0.18146	1.79702	1.37631	-1.04387	0.00542	0.00654	0.04413	0.01177	0.06044	0.23344	0.75604
107	CLHS25PBw	0.04103	0.38464	-1.41321	0.1781	1.79277	1.40808	-1.04448	0.00581	0.0068	0.04943	0.01175	0.06304	0.2306	0.77188
108	CLHS25PBk1	0.04424	0.38274	-1.43924	0.16818	1.72981	1.33451	-1.09883	0.00542	0.0065	0.04296	0.01065	0.0652	0.23241	0.79829
109	CLHS25PBk2	0.04506	0.38149	-1.42651	0.24479	2.03511	1.44065	-0.89702	0.00441	0.00576	0.03934	0.01186	0.05989	0.24094	0.62392
110	CLHS26PA	0.03913	0.38643	-1.37775	0.22962	1.99285	1.54204	-0.90539	0.00548	0.00685	0.05643	0.01367	0.07938	0.24006	0.67399
111	CLHS26PBw1	0.03913	0.38643	-1.37775	0.22962	1.99285	1.54204	-0.90539	0.00548	0.00685	0.05643	0.01367	0.07938	0.24006	0.67399
112	CLHS26PBw2	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
113	CLHS26PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
114	CLHS27PA	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
115	CLHS27PBw1	0.04105	0.38467	-1.39459	0.22554	1.97453	1.49866	-0.91816	0.00523	0.00648	0.05018	0.013	0.06838	0.23876	0.66745
116	CLHS27PBw2	0.04493	0.38152	-1.42822	0.21722	1.93858	1.41125	-0.9462	0.00482	0.00608	0.04033	0.01248	0.05922	0.23797	0.66448
117	CLHS27PBw3	0.04878	0.37858	-1.46237	0.20863	1.89031	1.32215	-0.97698	0.00465	0.00568	0.03671	0.01234	0.07125	0.23974	0.67629
118	CLHS28PA	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
119	CLHS28PBk1	0.05607	0.37266	-1.51741	0.5126	2.84021	1.25999	-0.9289	0.00363	0.00534	0.0433	0.01528	0.09032	0.23999	0.48684
120	CLHS28PC	0.05352	0.37525	-1.49159	0.52263	2.85895	1.33407	-0.91856	0.00302	0.00472	0.03372	0.01357	0.07115	0.2372	0.48434
121	CLHS28PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
122	CLHS29PA	0.04299	0.38305	-1.41139	0.22141	1.95699	1.45512	-0.93178	0.005	0.00626	0.04468	0.01264	0.06015	0.23805	0.66419
123	CLHS29PBw	0.05154	0.37694	-1.47876	0.3985	2.50787	1.3329	-0.86529	0.00271	0.00453	0.03065	0.01402	0.05706	0.23978	0.50616
124	CLHS29PBk1	0.04493	0.38152	-1.42822	0.21722	1.93858	1.41125	-0.9462	0.00482	0.00608	0.04033	0.01248	0.05922	0.23797	0.66448
125	CLHS29PBk2	0.04493	0.38152	-1.42822	0.21722	1.93858	1.41125	-0.9462	0.00482	0.00608	0.04033	0.01248	0.05922	0.23797	0.66448
126	CLHS30PA	0.04925	0.37913	-1.45593	0.40738	2.52503	1.3904	-0.86084	0.00245	0.00432	0.03156	0.01426	0.05287	0.23854	0.49591
127	CLHS30PBw1	0.05154	0.37694	-1.47876	0.3985	2.50787	1.3329	-0.86529	0.00271	0.00453	0.03065	0.01402	0.05706	0.23978	0.50616
128	CLHS30PBw2	0.05154	0.37694	-1.47876	0.3985	2.50787	1.3329	-0.86529	0.00271	0.00453	0.03065	0.01402	0.05706	0.23978	0.50616
129	CLHS30PBw3	0.04697	0.38141	-1.43346	0.41592	2.53889	1.4479	-0.85584	0.00265	0.00462	0.03669	0.01526	0.0609	0.23855	0.49198
130	CLHS31PA	0.04103	0.38464	-1.41321	0.1781	1.79277	1.40808	-1.04448	0.00581	0.0068	0.04943	0.01175	0.06304	0.2306	0.77188
131	CLHS31PC	0.04493	0.38152	-1.42822	0.21722	1.93858	1.41125	-0.9462	0.00482	0.00608	0.04033	0.01248	0.05922	0.23797	0.66448
132	CLHS31PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
133	CLHS32PA	0.04103	0.38464	-1.41321	0.1781	1.79277	1.40808	-1.04448	0.00581	0.0068	0.04943	0.01175	0.06304	0.2306	0.77188
134	CLHS32PBw1	0.05172	0.38057	-1.49682	0.14479	1.52858	1.17058	-1.2641	0.0048	0.00584	0.04281	0.00778	0.07938	0.2399	0.901
135	CLHS32PBw2	0.04925	0.37913	-1.45593	0.40738	2.52503	1.3904	-0.86084	0.00245	0.00432	0.03156	0.01426	0.05287	0.23854	0.49591
136	CLHS32PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
137	CLHS33PA	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
138	CLHS33PBw1	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
139	CLHS33PBw2	0.04299	0.38305	-1.41139	0.22141	1.95699	1.45512	-0.93178	0.005	0.00626	0.04468	0.01264	0.06015	0.23805	0.66419
140	CLHS33PBw3	0.04299	0.38305	-1.41139	0.22141	1.95699	1.45512	-0.93178	0.005	0.00626	0.04468	0.01264	0.06015	0.23805	0.66419
141	CLHS33PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
142	CLHS34PA	0.03913	0.38643	-1.37775	0.22962	1.99285	1.54204	-0.90539	0.00548	0.00685	0.05643	0.01367	0.07938	0.24006	0.67399
143	CLHS34PBw	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
144	CLHS34PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
145	CLHS35PA	0.04257	0.38432	-1.39827	0.30804	2.22532	1.53789	-0.83775	0.00394	0.00558	0.04642	0.01227	0.08093	0.24352	0.57877
146	CLHS35PBk1	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
147	CLHS35PC	0.05485	0.37339	-1.52109	0.26755	2.07288	1.23169	-0.88856	0.00465	0.00542	0.04606	0.01253	0.07	0.24548	0.60937
148	CLHS35PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
149	CLHS36PA	0.03913	0.38643	-1.37775	0.22962	1.99285	1.54204	-0.90539	0.00548	0.00685	0.05643	0.01367	0.07938	0.24006	0.67399
150	CLHS36PBk1	0.04875	0.37868	-1.45818	0.28826	2.17369	1.38878	-0.86053	0.00358	0.00512	0.03398	0.01052	0.06571	0.24328	0.58395
151	CLHS36PBk2	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
152	CLHS36PBk3	0.04493	0.38152	-1.42822	0.21722	1.93858	1.41125	-0.9462	0.00482	0.00608	0.04033	0.01248	0.05922	0.23797	0.66448
153	CLHS37PA	0.04257	0.38432	-1.39827	0.30804	2.22532	1.53789	-0.83775	0.00394	0.00558	0.04642	0.01227	0.08093	0.24352	0.57877
154	CLHS37PC	0.04257	0.38432	-1.39827	0.30804	2.22532	1.53789	-0.83775	0.00394	0.00558	0.04642	0.01227	0.08093	0.24352	0.57877
155	CLHS37PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
156	CLHS38PA	0.04516	0.38276	-1.45484	0.15825	1.66913	1.29223	-1.14648	0.00533	0.00639	0.04149	0.00945	0.0721	0.23175	0.83269
157	CLHS38PAB	0.04103	0.38464	-1.41321	0.1781	1.79277	1.40808	-1.04448	0.00581	0.0068	0.04943	0.01175	0.06304	0.2306	0.77188
158	CLHS38PBk	0.04427	0.3822	-1.42892	0.18805	1.82365	1.37752	-1.02379	0.00526	0.00642	0.04265	0.01208	0.06041	0.23479	0.73513
159	CLHS38PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
160	CLHS39PA	0.04105	0.38467	-1.39459	0.22554	1.97453	1.49866	-0.91816	0.00523	0.00648	0.05018	0.013	0.06838	0.23876	0.66745
161	CLHS39PBw	0.05485	0.37339	-1.52109	0.26755	2.07288	1.23169	-0.88856	0.00465	0.00542	0.04606	0.01253	0.07	0.24548	0.60937
162	CLHS39PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
163	CLHS40PA	0.04702	0.38182	-1.46477	0.15613	1.64506	1.26252	-1.16935	0.00513	0.00625	0.04066	0.00919	0.07603	0.23426	0.84338
164	CLHS40PBA	0.0511	0.38272	-1.51192	0.14109	1.49396	1.1532	-1.25873	0.00473	0.00615	0.04124	0.00724	0.09317	0.23518	0.90367
165	CLHS40PBk	0.04424	0.38274	-1.43924	0.16818	1.72981	1.33451	-1.09883	0.00542	0.0065	0.04296	0.01065	0.0652	0.23241	0.79829
166	CLHS40PBkk	0.04878	0.37858	-1.46237	0.20863	1.89031	1.32215	-0.97698	0.00465	0.00568	0.03671	0.01234	0.07125	0.23974	0.67629
