"","T1.x","T2.x","T3.x","T4.x","T5.x","T1.y","T2.y","T3.y","T4.y","T5.y"
"M1_1","  0.0"," 33.3"," 33.3"," 11.1"," 0.0","  0.00"," 11.1"," 11.1","  0.0"," 0.0"
"M1_10","  0.0","  0.0","  0.0","  0.0"," 0.0","  0.00"," 77.8","  0.0"," 22.2"," 0.0"
"M1_2","  4.8"," 27.4"," 15.5","  1.2"," 0.0","  2.38"," 13.1"," 15.5"," 19.0"," 1.2"
"M1_4","  0.0","  0.0","  6.7","  0.0"," 6.7","  0.00"," 13.3"," 40.0"," 20.0","13.3"
"M1_5","  0.0","  8.0","  4.0","  6.0"," 2.0","  0.00"," 28.0"," 28.0"," 20.0"," 4.0"
"M1_6","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"M1_7","  0.0","  0.0","  0.0","100.0"," 0.0","  0.00","  0.0","  0.0","  0.0"," 0.0"
"M1_8","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"M2_1","  1.5","  9.2","  6.2","  6.2"," 0.0","  7.69"," 23.1"," 18.5"," 21.5"," 6.2"
"M2_10","100.0","  0.0","  0.0","  0.0"," 0.0","  0.00","  0.0","  0.0","  0.0"," 0.0"
"M2_3","  0.0","  0.0","  0.0","  0.0"," 0.0","  9.23"," 38.5"," 32.3"," 16.9"," 3.1"
"M2_5","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"M2_6","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"M2_7","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"M2_8","  0.0","  0.0","  0.0","  0.0"," 0.0","  0.00"," 25.0","  0.0"," 75.0"," 0.0"
"M2_9","  0.0","  0.0","  0.0","  8.3"," 0.0","  0.00","  8.3"," 58.3"," 25.0"," 0.0"
"M3_1","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"M3_2","  0.0","  8.1","  8.1","  2.7"," 4.1","  8.11"," 25.7"," 20.3"," 17.6"," 5.4"
"M3_3","  5.1"," 10.3","  2.6","  2.6"," 0.0","  0.00"," 10.3"," 56.4"," 10.3"," 2.6"
"M3_5","  0.0","  0.0","  0.0","  0.0"," 0.0","  0.00"," 31.0"," 36.9"," 27.4"," 4.8"
"M3_7","  0.0","  0.0","  0.0"," 50.0"," 0.0","  0.00"," 25.0","  0.0"," 25.0"," 0.0"
"M3_8","  0.0","  0.0","  0.0","  0.0"," 0.0","  3.64"," 25.5"," 36.4"," 29.1"," 5.5"
"M4_2","  0.0","  3.8"," 19.2","  3.8"," 0.0","  0.00"," 23.1"," 19.2"," 30.8"," 0.0"
"M4_3","  0.0","  0.0","  4.3","  6.5"," 0.0","  2.17"," 23.9"," 23.9"," 19.6","19.6"
"M4_4","  0.0","  0.0","  0.0","  0.0"," 0.0","  0.00","  0.0"," 50.0"," 50.0"," 0.0"
"M4_5","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"M4_6","  3.0","  3.0","  1.5","  3.0"," 0.0","  3.03"," 18.2"," 24.2"," 34.8"," 9.1"
"M4_7","  0.0","  8.0"," 16.0","  0.0"," 0.0","  0.00","  4.0"," 36.0"," 28.0"," 8.0"
"M4_9","  4.2"," 44.8"," 18.9"," 13.3"," 9.1","  0.70","  6.3","  1.4","  0.7"," 0.7"
