id,H1_DryHue,H1_DryValue,H1_DryChroma,H1_MoistHue,H1_MoistValue,H1_MoistChroma,H1_SandPercent,H1_ClayPercent,H1_pH,H1_Effervescence,H1_Depth,H2_MaxClay,H2_MinClay,H2_MaxSand,H2_MinSand,H2_MaxpH,H2_MinpH,H2_MaxDryHue,H2_MinDryHue,H2_MaxDryValue,H2_MinDryValue,H2_MaxDryChroma,H2_MinDryChroma,H2_MaxMoistHue,H2_MinMoistHue,H2_MaxMoistValue,H2_MinMoistValue,H2_MaxMoistChroma,H2_MinMoistChroma,TotalDepth,AWC25,AWC50,AWC100,Depth50,Depth100,Depth150,Depth200,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass
B2_1,2,6,4,2,4,4,55,5,7.6,1,7,5,3,75,60,8.4,7.8,3,2,7,6,4,3,3,2,5,4,4,4,200,11.20382556,11.005298,11.07050912,1,1,1,1,1880.943672,350,4,LL,0,0
B2_10,2,5,4,2,3,4,50,5,6.4,0,5,8,3,75,45,8.6,6.4,2,2,7,4,6,4,2,2,5,3,4,4,200,15.71572074,15.03600657,14.69614948,1,1,1,1,1880.334065,210,1,VV,1,1
B2_2,2,6,4,2,5,4,50,5,7.8,2,4,7,3,80,50,8.4,7.8,3,3,8,6,8,1,3,3,7,5,6,4,200,14.97004172,12.88672729,8.789983778,1,1,1,1,1881.55328,0,4,LV,0,2
B2_4,2,6,6,2,4,3,65,5,7.3,0,4,7,3,80,50,8.6,7.8,3,1,8,5,6,2,2,1,7,3,4,3,107,11.64383445,11.59291915,9.26124519,1,1,0,0,1896.488661,91,1,LV,1,1
B2_5,2,6,4,2,4,4,60,5,7.4,2,7,5,5,70,70,8.6,8.2,3,3,8,6,6,4,3,3,6,4,6,6,185,9.864202318,9.509753042,9.332528404,1,1,1,0,1876.066813,200,4,LV,0,1
B2_6,2,6,4,2,4,4,55,5,7.2,0,6,23,5,70,50,8.6,8,2,2,7,5,6,4,2,2,6,4,6,4,200,12.02741726,11.75597956,10.45564166,1,1,1,1,1876.981224,10,3,CC,1,1
B2_7,2,6,4,2,4,4,60,5,7.8,2,7,7,5,60,60,8.3,8.1,3,2,7,6,6,4,2,2,5,4,6,6,106,11.68708431,11.64936339,11.59568362,1,1,0,0,1865.703487,0,10,CL,1,1
B2_8,3,6,4,3,4,3,75,11,8.1,3,7,18,10,75,50,8.3,8.1,3,2,6,5,6,4,3,2,4,3,6,4,156,8.447313102,8.366001172,8.89597012,1,1,1,0,1878.810046,250,3,CL,0,1
B2_9,3,5,6,3,4,4,60,7,7.5,0,5,7,7,70,60,7.8,7.6,2,2,6,5,5,4,2,2,4,4,4,4,27,10.81990222,10.70623808,10.70623808,0,0,0,0,1894.355035,100,5,LV,1,1
B3_1,3,6,6,3,4,4,60,5,7.6,2,6,10,5,74,45,8.4,7.6,3,3,7,6,6,3,3,3,6,4,6,4,81,13.36224588,14.63258651,12.22625207,1,0,0,0,1866.617898,310,6,CV,1,1
B3_10,2,5,4,2,4,4,45,5,7.8,2,8,15,3,80,70,8,8,2,2,7,5,4,3,2,2,5,4,4,3,42,11.14680349,8.478073096,8.478073096,0,0,0,0,1895.57425,250,5,CV,1,2
B3_2,2,5,4,2,3,4,55,5,7.6,2,4,5,3,55,45,8.6,7.8,3,2,8,5,4,2,3,2,7,3,4,4,67,15.19706795,14.76815637,14.41924863,1,0,0,0,1890.392587,250,4,VV,1,0
B3_3,2,6,4,2,4,4,50,5,7.6,2,5,20,5,65,20,8.2,7.5,3,2,7,6,6,4,3,2,6,4,6,4,200,12.49084463,12.66082535,13.60150997,1,1,1,1,1877.895635,90,2,LL,0,0
B3_4,2,6,4,2,4,4,70,3,7.6,0,7,3,3,75,65,8.6,7.8,3,3,8,6,6,3,3,3,6,5,6,4,148,9.846087208,9.435145995,9.229675389,1,1,0,0,1873.628383,100,5,CL,0,0
B3_5,2,6,6,2,4,6,45,15,7.8,3,5,19,7,70,35,8.2,7.6,2,2,6,4,6,4,2,2,4,3,6,4,178,12.52192209,11.91679486,14.68860165,1,1,1,0,1893.745428,35,1,CL,1,0
B3_6,2,6,4,2,4,3,70,5,7.6,1,5,18,5,65,55,8.8,8.2,3,2,8,6,6,4,3,2,5,4,6,4,169,10.56281688,11.15686295,11.41210495,1,1,1,0,1867.837113,270,6,VV,1,1
B3_7,2,6,6,2,4,3,65,3,7.6,0,6,7,3,80,70,8.4,8,3,3,8,6,6,4,3,3,6,4,6,4,135,9.574976033,9.383358449,8.717340789,1,1,0,0,1874.847598,260,5,CC,0,2
B3_8,2,5,6,2,3,4,70,5,7.3,0,5,10,10,75,60,8.4,8.2,2,2,7,5,6,4,2,2,5,3,6,4,95,8.458812146,8.371750694,9.235518304,1,0,0,0,1878.200439,246,1,LV,0,2
B3_9,2,5,4,2,4,3,70,5,7.6,1,7,7,5,80,80,8.4,8.4,2,2,7,6,6,4,3,2,5,5,4,4,200,6.220845376,5.650256244,5.364961679,1,1,1,1,1874.847598,35,5,CL,0,4
B4_1,2,6,4,2,4,4,70,5,7.8,3,11,,,,,,,,,,,,,,,,,,,11,9.155303766,9.155303766,9.155303766,0,0,0,0,1888.258961,190,4,CL,0,5
B4_10,3,5,4,3,4,4,80,8,8.1,3,5,12,10,75,75,8.2,8.2,3,2,7,5,4,3,3,2,6,4,4,4,56,8.095433932,8.267864709,8.269667337,1,0,0,0,1874.542794,230,1,LV,3,1
B4_2,2,6,4,2,4,4,60,5,7.6,2,7,,,,,,,,,,,,,,,,,,,7,11.68708431,11.68708431,11.68708431,0,0,0,0,1881.248476,110,11,VV,0,2
B4_3,2,5,4,2,3,4,60,3,7.6,2,5,3,3,80,70,8,7.8,2,2,7,6,4,3,2,2,6,4,6,4,69,9.587940676,9.30607273,8.774904071,1,0,0,0,1877.590832,210,6,VV,0,1
B4_4,2,5,4,2,3,4,60,5,7.8,3,5,7,3,75,60,8.6,8.2,2,2,7,5,4,3,2,2,5,4,6,4,153,11.63485534,11.66096983,10.77538184,1,1,1,0,1890.697391,220,5,CL,0,0
B4_6,2,5,4,2,3,4,65,5,7.6,2,6,5,5,70,70,7.8,7.8,2,2,6,6,4,4,2,2,4,4,4,4,47,9.469493143,9.322425775,9.322425775,0,0,0,0,1880.638869,160,6,VV,0,2
B4_7,1,6,4,2,4,3,75,5,7.4,0,5,7,5,80,75,8.5,8,2,2,8,6,6,4,2,2,5,4,6,4,176,7.700722117,7.734520629,7.536327723,1,1,1,0,1877.590832,310,1,LL,0,1
B4_8,2,6,4,2,4,4,65,5,7.8,2,6,5,5,70,60,8.2,8,2,2,7,6,4,4,2,2,5,4,4,4,200,10.6847478,9.920025785,9.537664776,1,1,1,1,1888.258961,200,5,VV,0,0
B4_9,2,6,4,2,5,4,60,5,7.8,2,7,,,,,,,,,,,,,,,,,,,7,11.68708431,11.68708431,11.68708431,0,0,0,0,1891.611802,260,10,VV,0,4
IL1_1,2,6,4,2,4,4,60,5,6.6,0,4,5,5,65,60,8.2,7.4,2,2,7,5,6,6,2,2,5,4,6,4,40,11.63817798,11.19802105,11.19802105,0,0,0,0,1871.189954,110,12,CV,0,2
IL1_10,2,6,4,2,4,3,60,7,7.8,1,5,7,7,70,60,8.1,8.1,2,2,6,6,4,4,2,2,5,4,4,4,95,11.54200385,11.54200385,11.04318365,1,0,0,0,1878.200439,200,12,CC,0,1
IL1_3,2,6,4,2,4,4,70,7,8.2,3,7,7,7,65,55,8.1,7.8,2,2,6,6,4,4,2,2,4,3,4,4,200,10.11862661,10.28063585,10.36164046,1,1,1,1,1884.90612,270,1,LL,1,3
IL1_4,2,5,4,2,3,4,65,7,7.6,0,7,7,5,65,50,8.6,8,2,2,8,5,6,1,2,2,6,4,4,4,96,12.99292265,13.77728275,12.36058967,1,0,0,0,1878.505243,110,4,CC,1,2
IL1_5,2,6,4,2,4,4,60,5,6.5,0,8,10,5,80,60,8.4,7.6,3,2,8,5,6,2,3,2,7,4,6,4,121,10.19532081,10.03051114,10.25289118,1,1,0,0,1875.762009,310,4,VV,1,2
IL1_8,2,5,4,2,4,4,70,7,7.2,0,7,7,5,80,60,8.3,8,2,2,6,5,6,4,3,2,5,4,6,4,148,9.736749781,10.63937682,10.23319465,1,1,0,0,1876.981224,200,2,LV,1,2
IL1_9,2,5,4,2,4,4,65,10,7.8,3,8,,,,,,,,,,,,,,,,,,,8,10.43140426,10.43140426,10.43140426,0,0,0,0,1863.874665,190,18,VV,1,5
IL2_1,2,6,4,2,4,4,70,5,7.8,3,9,,,,,,,,,,,,,,,,,,,9,9.155303766,9.155303766,9.155303766,0,0,0,0,1862.045842,280,7,LV,0,5
IL2_10,2,6,4,2,4,4,70,7,6.6,0,5,7,5,75,70,8.4,7.8,2,2,8,5,4,3,2,2,6,4,4,4,74,8.349139491,8.058729316,8.005545398,1,0,0,0,1873.018776,10,5,CL,0,1
IL2_2,2,6,4,2,3,4,60,5,7.6,2,5,10,5,55,50,8.4,8.2,4,2,7,6,6,4,4,2,5,4,6,4,58,14.31345024,14.39079455,14.12455081,1,0,0,0,1879.11485,260,3,LV,1,1
IL2_3,2,6,4,2,4,4,55,7,6.4,0,4,10,5,60,50,8.6,6.6,3,2,8,6,6,2,3,2,7,4,6,4,200,11.88533372,13.42768772,14.19886472,1,1,1,1,1887.649354,90,4,LV,0,0
IL2_4,2,5,4,2,3,3,65,7,7.6,2,8,7,7,60,45,8.2,8,2,2,5,5,4,4,2,2,4,4,4,4,43,14.67834546,13.7233382,13.7233382,0,0,0,0,1876.67642,290,3,CL,1,1
IL2_5,2,6,4,2,4,4,70,5,7.6,0,6,38,5,80,40,8.2,7.8,3,3,8,5,6,4,3,3,6,4,6,4,200,9.417128247,10.25783064,9.345202634,1,1,1,1,1869.970739,70,3,VV,0,0
IL2_7,2,5,4,2,4,4,70,7,7.6,1,7,10,7,70,70,8.6,7.6,3,1,7,5,6,3,3,2,5,4,4,4,59,9.310381647,9.327011902,9.320669855,1,0,0,0,1875.457206,130,4,LL,1,1
IL2_8,3,6,4,3,4,3,60,5,7,0,6,5,5,55,55,8.2,7.6,3,3,8,5,6,3,3,2,6,4,4,4,46,12.76480531,12.9201747,12.9201747,0,0,0,0,1891.306998,180,3,CC,1,1
IL2_9,2,5,4,2,3,4,75,5,7.8,2,8,5,5,60,60,8.2,8.2,2,2,6,6,4,4,3,3,4,4,6,6,56,10.32492422,11.00600426,11.07897713,1,0,0,0,1868.751524,210,10,VV,1,2
IL3_1,2,5,4,2,3,4,40,5,7.6,2,6,7,7,40,40,8.1,7.8,3,3,6,5,4,4,3,3,4,4,4,4,34,19.07173666,19.03846918,19.03846918,0,0,0,0,1887.649354,70,2,LL,1,1
IL3_10,2,6,4,2,4,3,55,5,7,2,7,7,5,75,65,8.6,8.1,3,2,8,7,4,4,3,2,5,4,6,4,154,10.26125742,9.708280595,9.98162359,1,1,1,0,1885.515728,290,5,LV,1,4
IL3_2,1,5,4,1,3,4,75,5,7.6,0,5,5,5,80,80,8.4,8.2,2,2,6,5,6,4,2,2,5,4,4,4,181,5.549800495,5.314733804,5.197200458,1,1,1,0,1884.90612,200,6,LV,0,2
IL3_3,2,6,4,2,4,4,65,5,7.4,0,6,7,5,75,60,8.4,8,2,2,7,7,6,4,2,2,5,5,6,4,200,8.158516137,7.929619127,8.000680846,1,1,1,1,1875.762009,300,5,LV,1,3
IL3_4,2,5,4,2,3,4,35,12,6.6,0,4,18,10,75,45,8.2,6.6,2,2,6,4,6,4,2,2,4,3,6,4,146,15.32978753,12.84508437,12.42703358,1,1,0,0,1905.937576,14,3,VV,1,3
IL3_6,2,5,4,2,4,3,70,7,7.6,0,7,7,7,70,70,8.3,8,3,2,7,5,6,3,4,3,5,4,4,4,74,9.285436264,9.285436264,9.285436264,1,0,0,0,1889.478176,180,5,LL,1,1
IL3_7,2,5,4,2,4,4,70,7,7.4,0,4,7,7,70,60,8.1,8,3,2,5,5,6,6,2,2,4,4,4,4,27,10.81990222,10.87339123,10.87339123,0,0,0,0,1884.90612,230,5,CC,1,1
IL3_9,2,6,4,2,4,4,80,7,7.8,1,6,7,5,75,70,8.4,8.2,2,1,8,5,6,3,2,2,8,4,6,4,106,8.409346656,8.84739146,8.788148526,1,1,0,0,1877.895635,150,2,CL,1,1
IL4_10,2,6,4,2,4,4,60,3,7.4,2,7,3,3,75,65,8.4,8,2,2,8,7,6,2,2,2,5,5,6,4,200,10.87014101,10.68099649,10.58642423,1,1,1,1,1895.879054,90,10,VV,1,5
IL4_2,2,7,4,2,5,4,70,5,7.8,2,7,5,5,80,65,8.4,8.2,2,2,8,7,4,4,2,2,6,5,4,4,200,9.155303766,9.155303766,9.548040487,1,1,1,1,1867.837113,240,5,VV,0,2
IL4_3,2,5,4,2,3,4,40,3,7.8,2,6,15,15,35,35,8.1,8.1,3,3,6,6,4,4,3,3,4,4,4,4,25,18.84678145,18.84678145,18.84678145,0,0,0,0,1882.772495,60,8,LV,1,1
IL4_4,3,7,6,3,5,4,65,7,7.6,2,7,7,7,70,70,7.8,7.8,3,3,6,6,6,6,3,3,5,5,4,4,15,9.825467045,9.825467045,9.825467045,0,0,0,0,1893.745428,200,5,CL,1,6
IL4_5,2,6,4,2,4,4,75,7,7.8,2,6,5,5,80,80,8.1,8.1,2,2,5,5,6,6,2,2,4,4,4,4,23,5.781054599,5.781054599,5.781054599,0,0,0,0,1870.88515,80,8,VV,1,1
IL4_7,2,5,4,2,3,4,60,3,7.4,2,6,10,5,70,60,8.2,8.2,3,3,7,6,4,3,3,3,5,4,4,3,200,11.61421515,11.5781095,11.56005667,1,1,1,1,1869.056328,180,1,VV,0,1
IL4_8,2,7,4,2,5,4,70,5,8.1,2,10,,,,,,,,,,,,,,,,,,,10,9.155303766,9.155303766,9.155303766,0,0,0,0,1885.515728,260,11,VV,0,6
IL4_9,2,6,4,2,4,4,65,5,7.6,2,9,3,3,65,65,7.8,7.8,2,2,6,6,4,4,2,2,5,4,4,4,32,10.48197868,10.48413846,10.48413846,0,0,0,0,1888.258961,300,8,CC,0,0
M1_1,2,6,4,2,4,3,80,7,7.8,1,8,10,7,75,65,8.6,8.2,2,2,7,6,5,4,2,2,5,4,4,4,182,7.085677144,7.426998142,8.396584177,1,1,1,0,1890.697391,191,3,CC,0,0
M1_10,2,6,4,2,4,3,70,7,7.3,1,6,10,5,75,60,8.1,8,2,2,7,6,4,4,2,2,5,4,4,4,200,9.285436264,9.285436264,9.285436264,1,1,1,1,1878.810046,320,5,LL,1,0
M1_2,2,5,4,2,4,3,70,5,8,2,4,5,5,70,70,8.2,8.2,2,2,7,6,4,4,2,2,5,4,4,4,187,9.155303766,9.155303766,9.155303766,1,1,1,0,1894.964643,321,2,LL,1,1
M1_4,1,5,3,2,4,2,80,5,7.6,0,4,7,5,80,75,8.4,8,2,2,7,6,4,4,2,2,5,4,6,4,171,5.079667113,5.240986235,5.859376201,1,1,1,0,1888.258961,270,2,LV,1,1
M1_5,2,6,4,2,4,4,60,7,6.6,0,6,25,10,65,30,8.2,7.8,3,3,7,6,6,4,3,3,5,4,6,4,131,10.69794816,10.56467621,13.37432021,1,1,0,0,1863.874665,220,1,CC,0,0
M1_6,2,7,4,2,4,4,70,5,7.6,2,9,7,7,75,75,8.4,8.2,2,2,8,7,6,4,2,2,6,4,4,4,181,8.267633606,8.017976374,7.893147757,1,1,1,0,1894.659839,0,2,CC,1,1
M1_7,2,5,3,2,4,2,70,5,7.5,3,8,10,5,70,60,8,7.6,2,2,6,5,4,3,2,2,4,4,4,3,200,9.155303766,9.155303766,9.155303766,1,1,1,1,1894.964643,340,5,LV,1,1
M1_8,2,5,4,2,3,3,75,7,8,3,7,10,5,75,70,8,8,2,2,7,5,4,4,2,2,4,4,4,4,171,8.86064347,9.073039867,9.181948905,1,1,1,0,1875.152402,330,1,CL,1,0
M2_1,2,6,6,2,4,4,70,15,6.6,0,4,15,10,70,65,8.6,7.4,2,2,8,6,6,3,2,2,6,4,6,4,112,10.30863872,9.900976587,9.914985585,1,1,0,0,1872.713972,60,5,CV,1,1
M2_10,2,6,4,2,6,4,75,5,7.6,2,6,5,3,80,70,8.2,7.8,3,2,8,7,4,4,3,2,8,7,4,4,200,6.056369571,6.574376648,6.833380186,1,1,1,1,1883.686906,350,3,LL,0,1
M2_3,2,5,4,2,4,3,80,7,7.4,0,5,10,7,80,80,8.6,7.4,2,2,7,5,4,4,2,2,5,4,6,3,63,6.06142687,6.292374021,6.283632432,1,0,0,0,1864.179468,40,5,LL,0,1
M2_5,2,6,3,2,3,4,70,5,7.6,1,4,7,5,75,60,8.4,8.2,2,2,7,6,4,3,2,2,5,4,4,4,176,7.990236681,8.267633606,9.015282351,1,1,1,0,1892.831017,20,1,LV,1,1
M2_6,2,6,4,2,4,4,70,5,7.4,3,7,18,5,80,45,7.6,7.4,3,2,7,5,4,3,3,2,5,4,4,3,186,7.91332555,7.671829785,7.728611299,1,1,1,0,1859.607413,10,4,LL,1,0
M2_7,2,5,4,2,5,4,60,5,8.1,3,8,7,5,80,75,8.1,8,2,2,7,5,4,4,2,2,7,5,4,4,200,7.194040616,6.136853865,6.414856097,1,1,1,1,1873.32358,310,1,LV,0,1
M2_8,2,6,3,2,4,2,75,5,7.6,2,6,7,3,80,60,8.2,8,2,2,7,6,4,4,2,2,5,4,4,4,200,5.243917044,5.761924121,6.427153922,1,1,1,1,1885.820532,240,4,LV,0,0
M2_9,1,6,4,2,3,3,80,5,7.4,0,5,7,7,80,70,8.4,8,2,2,7,6,6,4,3,2,5,4,4,4,180,8.444282434,8.864859349,7.870524596,1,1,1,0,1894.964643,310,2,VV,1,1
M3_1,2,6,4,2,4,3,55,5,7.6,2,8,5,3,75,60,8.6,8.1,3,3,7,7,4,4,3,3,6,5,6,4,186,12.14086157,10.53556277,9.309074055,1,1,1,0,1875.457206,0,3,LL,0,2
M3_2,2,5,4,2,4,4,60,7,7,0,5,7,5,80,65,8.6,8,3,2,8,5,6,1,3,2,6,4,4,4,91,10.66251683,10.04340908,8.269170297,1,0,0,0,1881.858083,70,5,CC,1,1
M3_3,2,6,4,2,4,4,65,5,7.6,2,7,5,5,75,65,8.4,8,2,2,7,6,6,6,2,2,5,4,4,4,170,9.888412312,9.521858039,8.993586954,1,1,1,0,1871.799561,5,5,VV,0,2
M3_5,2,6,4,2,4,4,55,12,7.6,1,7,5,3,75,50,8.8,8.2,2,2,7,5,6,4,2,2,5,3,6,4,183,14.20703441,11.2799217,9.186152714,1,1,1,0,1874.847598,310,3,VV,1,1
M3_7,2,6,4,2,6,4,85,5,8,1,6,5,5,80,70,8.4,8.2,2,2,6,6,4,4,2,2,6,6,4,4,189,7.568291582,7.844306751,7.637320386,1,1,1,0,1891.002195,240,3,LV,1,1
M3_8,2,6,4,2,4,3,55,7,7.4,1,6,15,5,70,55,8.8,7.8,3,3,8,6,6,3,3,3,7,4,6,4,186,11.17182039,10.92838665,11.27051482,1,1,1,0,1867.837113,340,2,LV,1,1
M4_2,2,6,4,2,4,4,60,3,7.4,1,8,5,3,70,50,8.4,7.6,2,2,8,6,4,4,3,2,6,3,4,4,200,10.65687266,9.856270599,9.757086396,1,1,1,1,1866.313094,40,15,VV,0,3
M4_3,2,6,4,2,4,4,70,5,7.8,2,6,23,5,70,40,8.6,8.1,3,3,8,6,6,2,3,3,8,5,6,4,188,9.196946165,9.241191215,9.204754115,1,1,1,0,1867.837113,300,2,LV,1,1
M4_4,2,6,4,2,4,4,65,5,7.8,1,5,5,3,80,60,8.2,8,3,3,8,6,6,3,3,3,6,5,6,4,176,11.44255268,10.73777239,8.915078057,1,1,1,0,1879.724457,10,4,LL,0,1
M4_5,2,7,4,2,4,3,75,10,7.6,0,4,7,5,80,75,8.4,8.4,3,3,7,6,6,4,3,3,6,4,6,4,190,5.592470653,5.712480167,6.740399654,1,1,1,0,1879.11485,270,2,VV,1,1
M4_6,3,6,4,3,4,3,70,3,6.8,1,5,20,3,65,60,8.4,8,3,3,7,5,6,4,3,3,5,4,6,4,159,10.19832253,10.34508725,10.41846961,1,1,1,0,1858.693002,50,5,VV,1,2
M4_7,2,5,4,2,3,4,50,5,8,1,14,15,3,75,55,8.6,8.2,3,3,8,6,4,2,3,2,7,4,6,4,73,14.10400231,13.0360467,11.83129088,1,0,0,0,1873.018776,70,10,LV,1,2
M4_9,2,5,4,2,3,4,45,25,7.6,0,9,25,7,55,45,8.4,8,2,2,7,5,4,4,2,2,5,4,6,4,67,12.88923555,12.79603908,12.77812192,1,0,0,0,1882.467691,20,0,LL,0,0
