,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,BOGR2,BOGR2.D,BRTE,BRTE.D,CHDE2,CHLE4,CHNAA3,CHVI8,CLLU2,CRFL5,DEPI,DEPI.D,ECCOC,ECCOC.D,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,HECO26.D,HYACA2,JUOS,KRLA2,LAOC3,LEMO2,MAFR3,OENOT,OPPO,OPPO.D,PEPU7,PIED,PLPA2,SALSO,SALSO.D,SPCO,SPCR,SPCR.D,BAMU,CHVI8.D,ERAB3,HIJA,JUOS.D,PHAU3,PIED.D,SPCO.D,YUAN2.D,CETE5,CLLU2.D,KRLA2.D,OECA10,SHRO
M1_10,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,3,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_2,3,2,0,7,11,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,18,0,0,0,11,28,0,0,0,1,0,0,0,2,0,0,0,59,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M1_4,0,14,0,1,4,0,0,11,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,32,0,0,0,6,0,0,0,3,0,0,0,52,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M1_5,3,1,0,3,16,5,0,67,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M1_6,0,6,0,0,0,25,2,45,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,11,0,0,0,10,0,0,0,2,0,0,0,54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_7,0,3,0,0,0,37,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,3,1,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M1_8,0,0,0,0,0,12,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,24,1,0,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2_1,6,0,1,3,16,2,0,107,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,26,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2_10,0,12,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2_3,1,0,0,0,20,4,2,111,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,57,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2_5,0,8,0,0,0,11,0,78,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2_6,0,1,0,0,0,32,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2_7,0,0,0,0,0,14,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,30,2,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2_8,0,24,0,0,0,9,0,29,3,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,11,0,0,1,3,0,0,0,9,0,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2_9,0,5,0,0,5,10,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,1,19,0,0,0,7,0,0,0,7,0,0,0,52,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M3_1,0,0,0,0,0,0,0,101,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_2,5,0,0,4,26,3,0,94,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,10,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_3,21,0,0,2,1,6,4,85,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,1,63,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_5,0,0,0,0,18,2,2,128,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_7,0,9,0,2,1,0,0,16,6,12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,14,0,0,0,1,1,0,0,5,0,4,1,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_8,7,0,0,0,26,9,0,81,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,49,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_2,14,0,0,5,0,7,1,70,1,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,4,0,41,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
M4_3,8,0,0,0,13,1,0,127,6,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,4,0,60,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M4_4,0,3,0,0,1,0,0,115,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,3,0,0,0,0,12,1,0,0,2,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_5,0,13,0,0,0,0,0,35,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,0,0,0,10,0,0,0,1,0,0,0,53,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0
M4_6,6,0,0,2,19,6,0,66,5,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_7,8,0,1,0,9,2,0,62,2,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1,1,28,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
M4_9,0,0,1,35,4,9,0,85,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
