"","ACHY","ACHY/D","AF01","AMID","AMUT","AMUT/DP","ARNO4","ARPU9","ARPU9/D","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BAMU","Bare Soil","BOGR2","BOGR2/D","BRTE","CEMO2","CEMO2/D","CHLE4","CHVI8","CHVI8/D","CHVI8/DP","CRAN4","CRFL5","ECCOC","ECCOC/D","ELEL5","EPVI","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA2","GUSA2/D","GUSA2/DP","HECO26","HECO26/D","HYACA2","HYFI/D","JUOS","JUOS/D","JUOS/DP","KRLA2","KRLA2/DP","LEMO2","MAFR3","MAFR3/DP","MAGR2","OPPO","OPPO/D","OPPO/DP","PEPU7","PHAU3","PHAU3/D","PIED","PIED/D","PIED/DP","PLPA2","PSSP","SALSO","SHRO","SHRO/DP","SPCO4","SPCR","SPCR/D","STUPID","SYOR2","SYOR2/D","Total Foliar","Total Litter","UNKCLOVER","UNKF2A","YUBA","YUBA/D","YUBA/DP"
"50",5,0,0,0,0,0,0,0,0,8,7,2,7,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,19,0,0,0,0,87,0,0,0,0,0,0
"51",4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0
"52",1,0,0,0,0,0,0,0,0,0,15,0,6,2,1,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0,0
"54",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,4,3,0,0,0,0,0,0,0,0,47,1,0,8,0,0,0,0,0,0,0,0,7,0,81,0,0,0,0,0,0
"55",2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,9,0,0,0,0,2,0,0,0,4,0,1,1,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,1,0,0
"56",4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,15,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
"57",2,0,0,0,0,0,0,0,0,2,14,2,0,3,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,0,7,0,0,0,0
"58",3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,19,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0
"59",1,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,77,0,0,0,0,0,0
"60",1,0,0,0,0,0,0,0,0,2,13,0,4,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,4,0,0,0,89,0,0,0,0,0,0
"61",5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,1,0,0,0,2,1,0,0,0,0,6,0,0,18,9,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0
"64",0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,0,0,102,0,0,0,0,0,0
"65",5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,26,0,1,0,0,0,0,0,0,1,0,0,0,0,63,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"67",4,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0,46,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0,0,106,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,1,3,0,5,4,1,0,0,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,84,0,0,0,0,0,0
"69",8,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,41,18,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1,7,1,1
"70",0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,41,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,76,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,6,0,3,2,0,0,0,55,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,117,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
"77",9,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,35,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,39,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,2,0,0,0,0,102,0,0,0,0,0,0
"79",1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
"80",5,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,62,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,111,0,0,0,0,0,0
"82",6,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,58,2,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,98,0,0,0,0,0,0
"83",3,1,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,66,9,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0
"86",4,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,65,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,114,0,0,0,0,0,0
"88",2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"89",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0,56,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,0,3,3,2,7,0,1,0,0,79,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,111,0,0,0,0,0,0
"91",2,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,26,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
"92",2,0,0,0,0,0,0,1,0,0,5,0,1,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,0,14,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,75,0,0,0,0,0,0
"93",1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,5,0,0,30,12,0,0,0,0,0,0,0,1,0,0,0,0,69,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
"95",2,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,26,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,83,0,0,0,0,0,0
