Site,PedonID,ARTR2_L_Total,ARTR2_D_Total,ARTR2_ALL_Total,ARTR2_L_Mature,ARTR2_D_Mature,ARTER_ALL_Mature,ARTR2_L_GT050,ARTR2_D_GT050,ARTR2_ALL_GT050,ATCA2_L_Total,ATCA2_D_Total,ATCA2_ALL_Total,EPVI_L_Total,EPVI_D_Total,EPVI_ALL_Total,KRLA2_L_Total,KRLA2_D_total,KRLA2_ALL_total,JUOS_PIED_Total,LPI_ARTR_D_DP,LPI_ARTR_Alive,LPI_ARTR_all,Bare_Soil,PerGrass,Total_Foliar,Total_Litter
April's Sites,B3_2,4,35,39,3,35,38,0,0,0,0,0,0,0,0,0,219,0,219,0,0.0034,0.0000,0.0034,0.1968,0.4702,0.5066,0.3400
April's Sites,B3_3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.2868,0.3532,0.4066,0.3534
April's Sites,B3_4,0,2,2,0,2,2,0,0,0,3,0,3,47,0,47,0,0,0,0,0.0000,0.0000,0.0000,0.1166,0.6006,0.7002,0.3034
April's Sites,B3_5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,0.0000,0.0000,0.0000,0.2302,0.4236,0.4768,0.3102
April's Sites,B3_6,2,66,68,2,66,68,1,10,11,0,0,0,0,0,0,0,0,0,0,0.0766,0.0000,0.0766,0.1366,0.5364,0.6432,0.2200
April's Sites,B3_7,6,54,60,6,54,60,0,4,4,4,1,5,10,0,10,0,0,0,1,0.0502,0.0034,0.0536,0.1568,0.4304,0.6168,0.3600
April's Sites,B3_8,6,6,12,6,6,12,0,0,0,0,0,0,0,0,0,9,3,12,0,0.0068,0.0000,0.0068,0.1834,0.4334,0.4468,0.3100
April's Sites,B3_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.1700,0.5832,0.6566,0.2734
April's Sites,B4_1,6,26,32,6,26,32,1,0,1,1,0,1,4,0,4,11,0,11,0,0.0234,0.0000,0.0234,0.1532,0.4834,0.5700,0.2398
April's Sites,B4_10,0,42,42,0,42,42,0,0,0,1,1,2,0,0,0,5,0,5,1,0.0134,0.0000,0.0134,0.2900,0.3834,0.4798,0.2566
April's Sites,B4_2,9,10,19,8,10,18,0,0,0,14,0,14,0,0,0,2,0,2,0,0.0234,0.0034,0.0268,0.1600,0.3036,0.4132,0.2234
April's Sites,B4_3,18,37,55,17,37,54,7,8,15,6,0,6,4,0,4,0,0,0,0,0.0566,0.0034,0.0600,0.1666,0.4730,0.5768,0.3266
April's Sites,B4_4,0,29,29,0,29,29,0,1,1,0,0,0,0,0,0,5,0,5,0,0.0332,0.0000,0.0332,0.1836,0.5370,0.5834,0.3100
April's Sites,B4_6,12,22,34,12,22,34,3,3,6,6,1,7,0,0,0,1,0,1,0,0.0200,0.0332,0.0532,0.1368,0.5370,0.6100,0.3532
April's Sites,B4_7,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,12,0,12,0,0.0100,0.0000,0.0100,0.0798,0.5566,0.5968,0.3834
April's Sites,B4_8,0,0,0,0,0,0,0,0,0,10,2,12,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.1234,0.4236,0.5934,0.3434
April's Sites,B4_9,5,10,15,5,10,15,0,0,0,2,0,2,7,0,7,0,0,0,2,0.0168,0.0000,0.0168,0.1466,0.3134,0.4566,0.2332
April's Sites,IL1_1,49,23,72,48,23,71,25,5,30,1,0,1,0,0,0,0,0,0,0,0.0402,0.0866,0.1268,0.2234,0.4002,0.5468,0.2700
April's Sites,IL1_10,0,6,6,0,6,6,0,1,1,8,1,9,0,0,0,77,0,77,0,0.0000,0.0000,0.0000,0.0802,0.6036,0.6634,0.3130
April's Sites,IL1_3,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.1000,0.4870,0.5800,0.2132
April's Sites,IL1_4,47,33,80,45,33,78,4,2,6,0,0,0,6,0,6,0,0,0,0,0.0236,0.0334,0.0570,0.1966,0.3934,0.5800,0.2534
April's Sites,IL1_5,3,14,17,3,14,17,1,0,1,0,0,0,6,0,6,0,0,0,0,0.0234,0.0000,0.0234,0.2168,0.4000,0.4832,0.3734
April's Sites,IL1_8,3,10,13,3,10,13,1,2,3,1,0,1,0,0,0,0,0,0,0,0.0102,0.0066,0.0168,0.1066,0.4636,0.5000,0.3066
April's Sites,IL1_9,31,6,37,18,6,24,1,1,2,0,0,0,0,0,0,0,0,0,0,0.0136,0.0000,0.0136,0.0434,0.0768,0.2602,0.2630
April's Sites,IL2_1,15,17,32,15,17,32,0,0,0,5,0,5,0,0,0,7,0,7,0,0.0200,0.0100,0.0300,0.1102,0.3532,0.4600,0.2768
April's Sites,IL2_10,8,60,68,8,60,68,0,2,2,14,0,14,0,0,0,12,0,12,0,0.0370,0.0136,0.0506,0.1266,0.4902,0.6102,0.2800
April's Sites,IL2_2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,32,0,32,0,0.0034,0.0000,0.0034,0.2134,0.4466,0.4932,0.3134
April's Sites,IL2_3,23,32,55,22,29,51,2,2,4,3,0,3,0,0,0,0,0,0,0,0.0268,0.0068,0.0336,0.1266,0.6402,0.6966,0.3534
April's Sites,IL2_4,0,10,10,0,10,10,0,0,0,2,0,2,0,0,0,4,0,4,0,0.0132,0.0000,0.0132,0.1934,0.4334,0.4734,0.3668
April's Sites,IL2_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,75,0,0.0000,0.0000,0.0000,0.1368,0.5200,0.5866,0.3666
April's Sites,IL2_7,48,30,78,44,30,74,12,4,16,4,0,4,38,0,38,0,0,0,1,0.0568,0.0532,0.1100,0.2102,0.3702,0.5130,0.3268
April's Sites,IL2_8,14,9,23,14,9,23,2,0,2,13,0,13,0,0,0,4,0,4,0,0.0200,0.0234,0.0434,0.1432,0.3768,0.5032,0.2866
April's Sites,IL2_9,0,37,37,0,33,33,0,1,1,7,2,9,4,0,4,102,0,102,2,0.0202,0.0000,0.0202,0.1632,0.4272,0.5300,0.2200
April's Sites,IL3_1,1,31,32,1,31,32,0,0,0,3,0,3,0,0,0,3,0,3,0,0.0202,0.0000,0.0202,0.1666,0.4866,0.5632,0.2866
April's Sites,IL3_10,17,18,35,16,18,34,8,3,11,8,4,12,2,0,2,3,0,3,0,0.0334,0.0400,0.0734,0.1966,0.3898,0.5534,0.2468
April's Sites,IL3_2,37,16,53,36,16,52,21,2,23,2,0,2,0,0,0,0,0,0,0,0.0368,0.0166,0.0534,0.1632,0.3868,0.5300,0.2732
April's Sites,IL3_3,0,44,44,0,44,44,0,2,2,1,0,1,31,0,31,0,0,0,0,0.0432,0.0000,0.0432,0.0800,0.5302,0.5968,0.3400
April's Sites,IL3_4,71,28,99,71,28,99,17,1,18,,,0,,,0,,,0,0,0.0168,0.0732,0.0900,0.1934,0.4236,0.5702,0.2532
April's Sites,IL3_6,58,22,80,41,21,62,7,0,7,1,0,1,0,0,0,6,0,6,0,0.0268,0.0400,0.0668,0.2332,0.3834,0.4700,0.2934
April's Sites,IL3_7,10,22,32,10,22,32,2,0,2,1,0,1,0,0,0,7,0,7,0,0.0268,0.0034,0.0302,0.1468,0.5032,0.6032,0.3066
April's Sites,IL3_9,46,31,77,46,31,77,11,1,12,0,0,0,0,0,0,1,0,1,0,0.0534,0.0532,0.1066,0.1900,0.4068,0.5466,0.2700
April's Sites,IL4_10,27,18,45,26,18,44,12,1,13,5,0,5,1,0,1,0,0,0,0,0.0236,0.0334,0.0570,0.1966,0.3934,0.5800,0.2534
April's Sites,IL4_2,8,33,41,8,33,41,3,5,8,12,5,17,3,0,3,0,0,0,0,0.0234,0.0034,0.0268,0.1366,0.4538,0.5668,0.3268
April's Sites,IL4_3,0,12,12,0,12,12,0,0,0,10,0,10,0,0,0,73,0,73,0,0.0066,0.0000,0.0066,0.1498,0.5102,0.5468,0.2800
April's Sites,IL4_4,2,9,11,2,9,11,0,0,0,2,0,2,0,0,0,0,0,0,0,0.0168,0.0000,0.0168,0.1166,0.3166,0.4232,0.2132
April's Sites,IL4_5,8,13,21,6,13,19,0,0,0,6,0,6,0,0,0,65,0,65,0,0.0134,0.0034,0.0168,0.1132,0.5302,0.5898,0.1934
April's Sites,IL4_7,0,52,52,0,52,52,0,7,7,17,1,18,0,0,0,0,0,0,0,0.0566,0.0000,0.0566,0.1966,0.4838,0.6000,0.2666
April's Sites,IL4_8,68,10,78,38,10,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0034,0.0068,0.0102,0.1100,0.0202,0.2668,0.3002
April's Sites,IL4_9,2,40,42,2,40,42,0,0,0,2,0,2,0,0,0,1,0,1,0,0.0268,0.0034,0.0302,0.0736,0.5836,0.6500,0.3868
April's Sites,M1_1,7,0,7,7,0,7,3,0,3,12,0,12,0,0,0,105,0,105,0,0.0068,0.0000,0.0068,0.1566,0.2332,0.4398,0.4766
April's Sites,M1_10,0,9,9,0,9,9,0,0,0,0,0,0,0,0,0,7,0,7,0,0.0000,0.0000,0.0000,0.0900,0.4266,0.5668,0.4068
April's Sites,M1_2,37,40,77,37,40,77,3,3,6,4,0,4,0,0,0,133,0,133,0,0.0368,0.0168,0.0536,0.1400,0.2864,0.5164,0.4866
April's Sites,M1_4,1,11,12,1,11,12,0,0,0,0,0,0,0,0,0,145,0,145,0,0.0134,0.0034,0.0168,0.1402,0.2768,0.4964,0.4400
April's Sites,M1_5,9,38,47,9,38,47,1,7,8,15,0,15,0,0,0,0,0,0,0,0.0532,0.0100,0.0632,0.1432,0.5132,0.6134,0.3132
April's Sites,M1_6,0,0,0,0,0,0,0,0,0,20,3,23,0,0,0,33,0,33,0,0.0000,0.0000,0.0000,0.2066,0.3368,0.5268,0.3632
April's Sites,M1_7,1,0,1,1,0,1,0,0,0,53,0,53,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.1034,0.2034,0.5066,0.3998
April's Sites,M1_8,0,0,0,0,0,0,0,0,0,68,1,69,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.2266,0.2932,0.4232,0.4000
April's Sites,M2_1,14,41,55,14,41,55,1,2,3,4,1,5,0,0,0,1,0,1,0,0.0568,0.0068,0.0636,0.1700,0.5098,0.6198,0.2266
April's Sites,M2_10,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,3,0,3,0,0.0000,0.0034,0.0034,0.2164,0.2134,0.3634,0.4634
April's Sites,M2_3,0,57,57,0,57,57,0,1,1,5,1,6,0,0,0,0,0,0,0,0.0598,0.0000,0.0598,0.0966,0.5900,0.6966,0.2434
April's Sites,M2_5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,23,0,23,0,0.0000,0.0000,0.0000,0.1732,0.3566,0.4632,0.3700
April's Sites,M2_6,0,0,0,0,0,0,0,0,0,186,4,190,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.2266,0.2300,0.3734,0.3600
April's Sites,M2_7,0,0,0,0,0,0,0,0,0,80,7,87,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.1832,0.2668,0.4800,0.4202
April's Sites,M2_8,0,4,4,0,4,4,0,0,0,4,0,4,0,0,0,18,0,18,0,0.0000,0.0000,0.0000,0.1634,0.4234,0.6000,0.3434
April's Sites,M2_9,1,11,12,1,11,12,0,3,3,10,1,11,0,0,0,81,0,81,0,0.0168,0.0000,0.0168,0.1300,0.2870,0.4730,0.3834
April's Sites,M3_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,111,0,0.0000,0.0000,0.0000,0.1766,0.5470,0.6030,0.2834
April's Sites,M3_2,14,47,61,12,47,59,2,5,7,2,0,2,0,0,0,0,0,0,0,0.0868,0.0100,0.0968,0.1800,0.4134,0.5802,0.2732
April's Sites,M3_3,6,30,36,5,30,35,0,1,1,2,2,4,0,0,0,6,0,6,0,0.0068,0.0000,0.0068,0.1532,0.4934,0.6566,0.3134
April's Sites,M3_5,0,80,80,0,80,80,0,8,8,0,0,0,0,0,0,0,0,0,0,0.0600,0.0000,0.0600,0.0834,0.6300,0.7164,0.2366
April's Sites,M3_7,2,1,3,2,1,3,0,0,0,0,0,0,0,0,0,23,0,23,0,0.0100,0.0000,0.0100,0.1466,0.2530,0.4232,0.4634
April's Sites,M3_8,0,50,50,0,50,50,0,4,4,20,0,20,0,0,0,0,0,0,0,0.0864,0.0000,0.0864,0.1700,0.4372,0.5900,0.3098
April's Sites,M4_2,7,19,26,4,19,23,0,0,0,4,1,5,3,0,3,19,0,19,0,0.0000,0.0166,0.0166,0.1100,0.4302,0.5968,0.2868
April's Sites,M4_3,5,31,36,5,31,36,1,0,1,7,0,7,1,0,1,0,0,0,0,0.0400,0.0000,0.0400,0.0834,0.6000,0.7000,0.2732
April's Sites,M4_4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,84,0,84,0,0.0034,0.0000,0.0034,0.2100,0.4900,0.5468,0.2534
April's Sites,M4_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0.0000,0.0000,0.0000,0.1268,0.3134,0.4798,0.3232
April's Sites,M4_6,5,51,56,4,51,55,1,4,5,23,0,23,0,0,0,16,0,16,0,0.0668,0.0034,0.0702,0.1500,0.3734,0.5100,0.3000
April's Sites,M4_7,6,16,22,5,16,21,0,1,1,0,0,0,16,0,16,1,0,1,0,0.0300,0.0000,0.0300,0.1334,0.2802,0.5066,0.3134
April's Sites,M4_9,110,12,122,99,12,111,14,2,16,10,1,11,0,0,0,0,0,0,0,0.0268,0.1032,0.1300,0.3600,0.2836,0.5032,0.2034
cLHS050,CLHS01P,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0.0000,0.0000,0.0000,0.0833,0.0000,0.2167,0.1943
cLHS050,CLHS10P,0,28,28,0,28,28,0,1,1,0,0,0,0,0,0,0,1,1,5,0.0057,0.0000,0.0057,0.1500,0.0557,0.3780,0.5390
cLHS050,CLHS11P,1,16,17,1,16,17,0,1,1,11,4,15,0,0,0,7,0,7,0,0.0000,0.0000,0.0000,0.1333,0.4833,0.5497,0.6390
cLHS050,CLHS12P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0000,0.0000,0.0000,0.2057,0.0000,0.3390,0.4110
cLHS050,CLHS14P,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0.0000,0.0000,0.0000,0.0890,0.0000,0.2943,0.4390
cLHS050,CLHS15P,0,1,1,0,1,1,0,0,0,0,0,0,3,1,4,0,0,0,5,0.0000,0.0000,0.0000,0.1113,0.0000,0.2390,0.3943
cLHS050,CLHS16P,5,12,17,5,12,17,0,0,0,10,0,10,0,0,0,26,0,26,1,0.0000,0.0000,0.0000,0.1610,0.4057,0.5443,0.4890
cLHS050,CLHS17P,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,7,0.0000,0.0000,0.0000,0.1723,0.0000,0.2833,0.4057
cLHS050,CLHS18P,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.1280,0.0057,0.2890,0.4613
cLHS050,CLHS02P,5,22,27,5,22,27,0,4,4,3,0,3,0,0,0,15,2,17,1,0.0113,0.0000,0.0113,0.1833,0.1943,0.4887,0.5723
cLHS050,CLHS20P,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,10,0,10,0,0.0000,0.0000,0.0000,0.2947,0.2837,0.4723,0.4553
cLHS050,CLHS21P,0,34,34,0,34,34,0,0,0,1,0,1,0,0,0,27,1,28,0,0.0113,0.0000,0.0113,0.1110,0.3943,0.4443,0.6057
cLHS050,CLHS23P,0,5,5,0,5,5,0,0,0,9,0,9,0,0,0,96,0,96,0,0.0000,0.0000,0.0000,0.2610,0.3007,0.3890,0.3387
cLHS050,CLHS25P,0,21,21,0,21,21,0,4,4,4,0,4,4,0,4,4,0,4,0,0.0057,0.0000,0.0057,0.0777,0.5277,0.6333,0.7000
cLHS050,CLHS26P,5,1,6,5,1,6,1,0,1,3,0,3,0,0,0,0,0,0,2,0.0000,0.0057,0.0057,0.2167,0.2223,0.3943,0.4500
cLHS050,CLHS28P,7,0,7,7,0,7,1,0,1,1,0,1,0,0,0,12,0,12,0,0.0000,0.0000,0.0000,0.5110,0.0613,0.2447,0.3053
cLHS050,CLHS29P,6,13,19,6,13,19,2,0,2,5,0,5,0,0,0,194,0,194,0,0.0057,0.0000,0.0057,0.1223,0.3777,0.6277,0.7557
cLHS050,CLHS03P,0,6,6,0,6,6,0,1,1,5,0,5,3,0,3,0,0,0,1,0.0000,0.0000,0.0000,0.1613,0.0220,0.3000,0.3610
cLHS050,CLHS30P,11,2,13,11,2,13,2,0,2,1,0,1,12,0,12,0,0,0,1,0.0000,0.0000,0.0000,0.2610,0.1670,0.4663,0.4443
cLHS050,CLHS32P,32,28,60,32,28,60,3,1,4,6,0,6,0,0,0,0,0,0,1,0.0223,0.0167,0.0390,0.2290,0.1737,0.3017,0.3750
cLHS050,CLHS35P,0,12,12,0,12,12,0,2,2,0,0,0,0,0,0,0,0,0,4,0.0000,0.0000,0.0000,0.1057,0.0333,0.4887,0.6497
cLHS050,CLHS04P,1,5,6,1,5,6,0,1,1,2,3,5,0,0,0,0,0,0,5,0.0000,0.0000,0.0000,0.0443,0.0113,0.2613,0.4667
cLHS050,CLHS05P,1,25,26,1,25,26,0,1,1,0,0,0,9,0,9,0,0,0,10,0.0057,0.0000,0.0057,0.1443,0.0330,0.4003,0.5277
cLHS050,CLHS06P,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,54,0,54,0,0.0000,0.0000,0.0000,0.4387,0.1443,0.2113,0.5000
cLHS050,CLHS07P,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0.0000,0.0000,0.0000,0.2610,0.0000,0.2113,0.3000
cLHS050,CLHS08P,0,14,14,0,14,14,0,1,1,0,5,5,0,0,0,3,0,3,0,0.0110,0.0000,0.0110,0.1333,0.4443,0.4667,0.6390
cLHS050,CLHS09P,0,23,23,0,23,23,0,0,0,5,1,6,1,0,1,1,0,1,4,0.0000,0.0000,0.0000,0.2947,0.1390,0.2000,0.2000
