Site,Plot,Line,Date,Quadrat,SpeciesCode,SubQuadSize,SubQuadSizeUOM,AreaInHectares,ClassAtotal,ClassBtotal,ClassCtotal,ClassDtotal,ClassEtotal,ClassFtotal,ClassGtotal,ClassHtotal,ClassItotal,ClassADensity,ClassBDensity,ClassCDensity,ClassDDensity,ClassEDensity,ClassFDensity,ClassGDensity,ClassHDensity,ClassIDensity
BEEF BASIN 2013,1,4,2/16/2014,1,JUOS,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,JUOS/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,MAFR3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,PIED,1,sq m,0.0001,0,0,0,0,2,0,0,0,0,0,0,0,0,20000,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,SH01,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,SH01/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,AMUT/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,ARBI3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,ARBI3/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,ARTR2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,ARTR2/D,1,sq m,0.0001,0,5,22,1,0,0,0,0,0,0,50000,220000,10000,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,BRMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,CEMO2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,CHVI8,1,sq m,0.0001,0,0,5,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,CHVI8/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,EPVI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,FRAN2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,GUMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,GUSA2,1,sq m,0.0001,3,21,15,0,0,0,0,0,0,30000,210000,150000,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,GUSA2/D,1,sq m,0.0001,0,2,3,0,0,0,0,0,0,0,20000,30000,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,JUOS,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,JUOS/D,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,KRLA2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,KRLA2/D,1,sq m,0.0001,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,MAFR3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,PIED,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,SH01,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,2,2/16/2014,1,SH01/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,AMUT/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,ARBI3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,ARBI3/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,ARTR2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,ARTR2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,BRMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,CEMO2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,CHVI8,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,CHVI8/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,EPVI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,FRAN2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,GUMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,GUSA2,1,sq m,0.0001,7,12,9,0,0,0,0,0,0,70000,120000,90000,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,GUSA2/D,1,sq m,0.0001,0,3,1,0,0,0,0,0,0,0,30000,10000,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,JUOS,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,JUOS/D,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,KRLA2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,KRLA2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,MAFR3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,PIED,1,sq m,0.0001,0,0,1,0,1,0,0,0,0,0,0,10000,0,10000,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,SH01,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,3,2/16/2014,1,SH01/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,AMUT/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,ARBI3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,ARBI3/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,ARTR2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,ARTR2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,BRMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,CEMO2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,CHVI8,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,CHVI8/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,EPVI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,FRAN2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,GUMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,GUSA2,1,sq m,0.0001,15,12,11,0,0,0,0,0,0,150000,120000,110000,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,GUSA2/D,1,sq m,0.0001,1,3,1,0,0,0,0,0,0,10000,30000,10000,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,JUOS,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,JUOS/D,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,KRLA2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,KRLA2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,MAFR3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,PIED,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,SH01,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,10,4,2/16/2014,1,SH01/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,AMUT/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,ARBI3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,ARBI3/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,ARTR2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,ARTR2/D,1,sq m,0.0001,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,ATCA2,1,sq m,0.0001,1,0,0,0,2,0,0,0,0,10000,0,0,0,20000,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,ATCA2/D,1,sq m,0.0001,0,3,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,BRMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,CEMO2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,CHVI8,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,CHVI8/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,EPVI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,FRAN2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,GUMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,GUSA2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,GUSA2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,JUOS,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,JUOS/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,KRLA2,1,sq m,0.0001,1,0,2,0,0,0,0,0,0,10000,0,20000,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,KRLA2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,MAFR3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,PIED,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,SH01,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,2,2/16/2014,1,SH01/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,AMUT/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,ARBI3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,ARBI3/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,ARTR2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,ARTR2/D,1,sq m,0.0001,0,3,9,1,0,0,0,0,0,0,30000,90000,10000,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,ATCA2,1,sq m,0.0001,0,0,0,1,2,0,0,0,0,0,0,0,10000,20000,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,ATCA2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,BRMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,CEMO2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,CHVI8,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,CHVI8/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,EPVI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,FRAN2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,GUMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,GUSA2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,GUSA2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,JUOS,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,JUOS/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,KRLA2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,KRLA2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,MAFR3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,PIED,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,SH01,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,3,2/16/2014,1,SH01/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,AMUT/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,ARBI3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,ARBI3/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,ARTR2,1,sq m,0.0001,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,ARTR2/D,1,sq m,0.0001,0,1,1,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,ATCA2,1,sq m,0.0001,0,0,0,2,3,0,0,0,0,0,0,0,20000,30000,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,ATCA2/D,1,sq m,0.0001,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,BRMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,CEMO2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,CHVI8,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,CHVI8/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,EPVI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,FRAN2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,GUMI,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,GUSA2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,GUSA2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,JUOS,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,JUOS/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,KRLA2,1,sq m,0.0001,1,1,2,0,0,0,0,0,0,10000,10000,20000,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,KRLA2/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,11,4,2/16/2014,1,MAFR3,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
