"","row","column","cor","p"
"122","ProteinPct","H1.ClayPercent",0.0416899397969246,0.737647237979549
"11","NitrogePct","CarbonateStage",0.0539853982627392,0.664368123540419
"12","ProteinPct","CarbonateStage",0.0539853982627392,0.664368123540419
"947","NitrogePct","ARTR2",0.0548801235854626,0.659146306930685
"948","ProteinPct","ARTR2",0.0548801235854626,0.659146306930685
"704","NitrogePct","MaxClay",0.0558825694024563,0.653315035561517
"705","ProteinPct","MaxClay",0.0558825694024563,0.653315035561517
"742","NitrogePct","MaxSand",0.0565450005233288,0.649472934471877
"743","ProteinPct","MaxSand",0.0565450005233288,0.649472934471877
"352","NitrogePct","Tot.EfferScale",0.0597001016139984,0.631299487112241
"353","ProteinPct","Tot.EfferScale",0.0597001016139984,0.631299487112241
"529","NitrogePct","Clay.50",0.0598022229969501,0.630714812300426
"530","ProteinPct","Clay.50",0.0598022229969501,0.630714812300426
"379","NitrogePct","DWAClay",0.0603353418409824,0.627666222600426
"380","ProteinPct","DWAClay",0.0603353418409824,0.627666222600426
"211","NitrogePct","Tot.DryRed",0.0657762661576271,0.596914331798246
"212","ProteinPct","Tot.DryRed",0.0657762661576271,0.596914331798246
"154","NitrogePct","H1.EfferScale",0.0675934925675392,0.586794748853321
"155","ProteinPct","H1.EfferScale",0.0675934925675392,0.586794748853321
"821","NitrogePct","MaxDryValue",0.0867900028824806,0.484953897175013
"822","ProteinPct","MaxDryValue",0.0867900028824806,0.484953897175013
"781","NitrogePct","MaxpH",0.0986606702208519,0.42701185072057
"782","ProteinPct","MaxpH",0.0986606702208519,0.42701185072057
"254","NitrogePct","Tot.DryCClass",0.0988018810749054,0.426347210193099
"255","ProteinPct","Tot.DryCClass",0.0988018810749054,0.426347210193099
"904","NitrogePct","MaxEffervescence",0.105315551161766,0.396335281805978
"905","ProteinPct","MaxEffervescence",0.105315551161766,0.396335281805978
"277","NitrogePct","Tot.MoistRed",0.113964751362801,0.358470659800647
"278","ProteinPct","Tot.MoistRed",0.113964751362801,0.358470659800647
"631","NitrogePct","EfferScale.50",0.120597675442696,0.330995061735371
"632","ProteinPct","EfferScale.50",0.120597675442696,0.330995061735371
"106","NitrogePct","H1.SandPercent",0.121800400316715,0.326159469765925
"107","ProteinPct","H1.SandPercent",0.121800400316715,0.326159469765925
"172","NitrogePct","H1.Depth",0.129237577319145,0.297260380368756
"173","ProteinPct","H1.Depth",0.129237577319145,0.297260380368756
"67","NitrogePct","H1.MoistRed",0.208287328481674,0.0907553241855401
"68","ProteinPct","H1.MoistRed",0.208287328481674,0.0907553241855401
"37","NitrogePct","H1.DryRed",0.256591975688934,0.0360820300810576
"38","ProteinPct","H1.DryRed",0.256591975688934,0.0360820300810576
"1","NitrogePct","ProteinPct",1,0
